"","Tp","Cl","pH","Redox","Leit","Trueb","Cl_2","Fm","Fm_2","EVENT"
"200",7.7,0.203751771751325,8.36863141955808,725.187361422766,207.547432176769,0.0311368580441922,0.148591222759857,1709.58006309345,1195.09486435354,"1"
"201",7.7,0.20446580931664,8.36951427758671,725.4750822885,207.194288965315,0.0310485722413287,0.148546926673895,1703.40005689301,1194.38857793063,"1"
"202",7.7,0.200284856417881,8.36418835225515,718.223162732036,207,0.0315811647744849,0.15445932649091,1780.36678981315,1196,"1"
"203",7.7,0.200611217743931,8.37,717.837617696209,207,0.031,0.154065320956565,1789.80810379284,1192.03337325342,"1"
"204",7.7,0.204410513987566,8.37,713.34934139185,207,0.031,0.161019250894179,1803.82280607289,1190.02873415034,"1"
"205",7.7,0.205621847813598,8.37,711.918339290563,207,0.031,0.161346665693656,1778.22386619565,1188.7426276193,"1"
"206",7.7,0.203249668487159,8.37,714.720699406173,207,0.031,0.159112378583565,1766.22372205835,1194.4474441167,"1"
"207",7.69890719358809,0.208202286158362,8.36956287743524,708.891809734988,206.978143871762,0.0309672158076428,0.164023735975854,1781.9725977066,1189.03816609131,"1"
"208",7.7,0.171243377762054,8.36,749.531142983087,211,0.0246502328084316,0.103626710238806,1893.92467769375,866.551629659021,"1"
"209",7.7,0.171885985703258,8.36,748.772001865746,211,0.0249862889766227,0.104467433749711,1929.54663152201,868.904022836359,"1"
"210",7.7,0.177574881724487,8.36980667809723,742.051457961642,211,0.0249806678097229,0.111910212354621,1851.11599314166,878.019332190277,"1"
"211",7.7,0.175000190965033,8.36,745.093053769305,211,0.0258074418383185,0.108541746271357,1912.42883771867,869.807441838318,"1"
"212",7.7,0.18246394496183,8.37,736.275791819408,211,0.0241606319001876,0.118306570299142,1832.53390180413,871.285055201501,"1"
"213",7.7,0.17774790185425,8.36525908833137,741.847061647485,211,0.0249481823337264,0.11213657446692,1893.27455267217,873.155452998821,"1"
"214",7.7,0.178681253417775,8.37,740.744452259437,211,0.025,0.113357677651429,1854.23952106666,875.840319288895,"1"
"215",7.7,0.185603760072279,8.37,732.566589678641,211,0.024,0.123574480010523,1826.67981631402,867.679816314019,"1"
"216",7.7,0.186770252396321,8.37,731.188560822378,211,0.024,0.125480743026079,1814.19549391046,866.689649324864,"1"
"217",7.7,0.189331318684625,8.37554721912602,728.163060203692,211,0.024,0.128181706614832,1817.23389322357,869.883053388214,"1"
"218",7.7,0.190930537162793,8.38,726.273832846631,211,0.024,0.130329172776137,1820.96098949015,872.364414855838,"1"
"219",7.7,0.189544937605207,8.38,727.910702746436,211,0.024,0.127570627921391,1825.01916888403,870.663471852662,"1"
"220",7.7,0.194848359423047,8.38994617585791,721.645536528635,211,0.024,0.136509090901087,1824.93002861529,866.048441727879,"1"
"221",7.7,0.194924596285504,8.39,721.555474558906,211,0.024,0.136539859196777,1824.48270747205,866.310375516769,"1"
"222",7.7,0.197632187807142,8.39,718.356877216356,211,0.024,0.13905205051663,1813.15307624522,877.252197318012,"1"
"223",7.7,0.201456065725143,8.39,713.83956149535,211,0.0247250811390113,0.145153948340782,1829.32637936319,874.924432026921,"1"
"224",7.7,0.20425005886149,8.39,710.175994073281,211,0.024,0.148809327567237,1799.83879889641,875,"1"
"225",7.7,0.201595736819716,8.39,713.674561868058,211,0.0247616021106951,0.145336679934139,1829.94723588182,874.668785225134,"1"
"226",7.7,0.204408182161053,8.39,710.349091846656,211,0.024,0.149016200167217,1838.82875861926,875,"1"
"227",7.7,0.207564417098062,8.39644565933384,706.623496474966,211,0.023355434066616,0.153145500082978,1810,873.066302199848,"1"
"228",7.7,0.204987007186109,8.39148345995694,709.668304537464,211,0.0238516540043056,0.149773476534441,1834.69796612486,874.554962012917,"1"
"229",7.62699608162511,0.164764488748049,8.35539921632502,750.750782998452,211,0.025,0.113461952001522,1842.23952979501,967.064780417364,"1"
"230",7.65632163211703,0.171852305144691,8.36126432642341,744.962222894507,211,0.0248735673576593,0.115379211398116,1882.18391839415,932.345094569027,"1"
"231",7.6,0.165276225801921,8.35240762038855,747.766961635885,211,0.026,0.122421358373766,1841.09180456237,1003.48152407771,"1"
"232",7.66965409312397,0.168400468607335,8.35,744.076155746217,211,0.026,0.125597245221822,1833.97955858149,1006.4827046562,"1"
"233",7.66432009309065,0.168878747284625,8.35356799069094,743.511144039703,211,0.026,0.125616058736496,1819.50721954904,1005.14560744725,"1"
"234",7.64058712893166,0.167288829316961,8.35,745.389384293303,211,0.026,0.124724227615351,1840.66496034572,1005.02935644658,"1"
"235",7.64868636569008,0.170542241239279,8.35513136343099,741.545985225982,211,0.026,0.127279270347181,1811.09277336393,1006.4605909707,"1"
"236",7.6,0.170546914876801,8.36,741.540464051744,211,0.026,0.127798521206914,1817.11425665859,1000,"1"
"237",7.6,0.172123056902011,8.36,739.678497926858,211,0.026,0.129030503985471,1803.30644354434,1004.66016541654,"1"
"238",7.6,0.177680889311103,8.36,733.112785251222,211,0.026,0.137131894868422,1812.5865765526,1006.24634062406,"1"
"239",7.69925981543493,0.18291814004284,8.36,726.92578985737,211,0.026,0.14398378626339,1806.37749412819,1005.99259815435,"1"
"240",7.6,0.181469442638425,8.36,728.637200027956,211,0.026,0.142012593081362,1832.74485823768,1007.54481959017,"1"
"241",7.63573661902919,0.186632988499644,8.36,722.537275450026,211,0.026,0.146916018419342,1836.84642286599,1000.21629571263,"1"
"242",7.64916826419067,0.18391845419378,8.36,725.744074609947,211,0.026,0.145292496553229,1809.04990414856,1007.01663471619,"1"
"243",7.6,0.181288362384647,8.36,728.851118122281,211,0.026,0.141807251628961,1832.0188468066,1007.73421387654,"1"
"244",7.6,0.184437087308855,8.36,725.131390425358,211,0.026,0.1446363688481,1841.23235530267,1003.10626485525,"1"
"245",7.6,0.188978855711478,8.36,719.765998996475,211,0.026,0.149377081898846,1862.66255882196,997,"1"
"246",7.6,0.195820099087283,8.36,711.684136312716,211,0.0258661815172527,0.160863410074242,1863.26763696549,1001.86618151725,"1"
"247",7.6,0.194319186963605,8.36,713.457230035248,211,0.0250175163699314,0.158847218704109,1867.75477082096,1001.91241815034,"1"
"248",7.6,0.19402968348112,8.36,713.799233274043,211,0.0253980265432037,0.158521010614362,1864.20394691359,1001.3980265432,"1"
"249",7.60945784868673,0.20371697196803,8.36547289243433,708.820581248252,208.810843026266,0.0287364462171681,0.164034701962501,1814.04788522935,1103.34308852209,"1"
"250",7.7,0.16,7.19225180299953,455.388268646784,190.606578572653,0.025,0.004,1558.38826864678,814.666094135493,"1"
"251",7.7,0.16,7.02574603702407,450.99259136105,401.954513540491,0.025,0.00171640246827155,1585.86560987309,812.283597531728,"1"
"252",7.7,0.16,7.01,455.388422967866,344.067949054763,0.0255553691871464,0,1574.88926162571,811.500838657841,"1"
"253",7.7,0.16,7.00611787947593,455.16463615722,358.483700960409,0.025,0,1577.16463615722,814,"1"
"254",7.7,0.16,7,458,272.032950768247,0.025,0,1554.58237692062,808.298531410052,"1"
"255",7.7,0.16,7.00607952402206,459.215904804412,240.329618324991,0.025,0.00182385720661841,1591.44295463385,814.511333630886,"1"
"256",7.7,0.16,7.01,459.893898174632,229.228138332721,0.0252122036507353,0.00268169452389702,1626.52778865257,818.408472619485,"1"
"257",7.7,0.16,7.01,460,236.878404846881,0.025,0,1604.40466428734,814.93920242344,"1"
"258",7.7,0.16,7.00891921859467,459.243453016272,233.054593470413,0.0251080781405326,0,1653.10918694083,813.783843718935,"1"
"259",7.7,0.16,7.01308884184342,459.691115815658,223.911158156581,0.0253088841843419,0.00330888418434188,1625.58677957579,819.382231631316,"1"
"260",7.7,0.16,7.01537166554714,459.462833445286,218.851333781146,0.0255371665547136,0.004,1598.8176642037,815.222999328282,"1"
"261",7.7,0.164934123815037,7.01493412381504,460,217,0.025,0.007,1654.66469046241,818.973649526015,"1"
"262",7.7,0.17,7.01341926508117,460,217,0.0246580734918825,0.00931614698376507,1581.23201571917,812.393485556822,"1"
"263",7.7,0.167141254285816,7.01714125428582,460,217,0.025,0.00885762371425517,1623.57848114241,810.571749142837,"1"
"264",7.7,0.17,7.02,460,217,0.025,0.0102136716761161,1581.59844625089,822.427343352232,"1"
"265",7.7,0.17,7.02,460,217,0.0241677820875775,0.0101677820875775,1624.06692525465,819.825525386957,"1"
"266",7.7,0.17,7.02,460,217,0.025,0.00913586701638997,1599.6413298361,816.81520209834,"1"
"267",7.7,0.17,7.02,460,217,0.0243212469823193,0.00935750603536144,1613.03625905304,817.466283194488,"1"
"268",7.7,0.17,7.02,459.491056154948,217,0.0244910561549477,0.00749105615494773,1595.73168464843,817.125213830732,"1"
"269",7.7,0.17,7.02,460,217,0.024,0.00751070140930824,1587.74613241409,814.064208455849,"1"
"270",7.7,0.16774117114488,7.02,459.774117114488,217,0.024,0.00677411711448804,1575.09646845795,811.677648656536,"1"
"271",7.7,0.17,7.02,459.710184913361,217,0.0247101849133614,0.007,1584.55092456681,815.477781039663,"1"
"272",7.7,0.160261565675028,7.01026156567503,460,217,0.025,0.007,1666.34608581243,817.104626270011,"1"
"273",7.7,0.17,7.02,459.249893355183,217,0.0242498933551833,0.007,1582.24946677592,821.0012797378,"1"
"274",7.7,0.169299904513173,7.02,459,217,0.0241400190973654,0.007,1577.56953211455,824,"1"
"275",7.7,0.16,7.02,459,217,0.0254871771459002,0.00497435429180041,1580.3333028967,815.9743542918,"1"
"276",7.7,0.16,7.02,459,217,0.024,0.006,1579.40823734645,815.852059336612,"1"
"277",7.7,0.16,7.02,459,217,0.024,0.006,1583.6485610269,816.912140256725,"1"
"278",7.7,0.16,7.02,459,217,0.0245973311467096,0.00480533770658076,1566.0266885329,816.389324586838,"1"
"279",7.7,0.16,7.02,459,217,0.0257107052770443,0.004,1598.87468469655,817.132115831133,"1"
"280",7.7,0.16,7.02,459,217,0.0259001223898958,0.004,1605.50428364635,817.700367169688,"1"
"281",7.7,0.16,7.00295657730196,453.886973190587,217,0.0258521711349022,0.000591315460391343,1612.27809695923,812.886973190587,"1"
"282",7.7,0.123793345615268,4.68226291589905,410.400919583626,216.321125230286,0.0254525831798092,0.040935244933702,1546.33616451733,814.073248618282,"1"
"283",7.7,0.155893053151667,4.69,324.129410383292,216.922994746594,0.0250256684178021,0.0754106946848333,1564.74545241054,804.641710445052,"1"
"284",7.7,0.0735223318217322,4.68,333.94330045348,214,0.025,0.0851182134542614,1590.20807713526,812.529553363565,"1"
"285",7.7,0,4.68616950270953,356.657657315722,214,0.0256169502709527,0.089850850812858,1629.08475135476,822.105104877148,"1"
"286",7.7,0,4.68,350.52387951687,214,0.025,0.0899732274094131,1617.44934789254,812.973227409413,"1"
"287",7.7,0,4.69,367.525636196136,214,0.0260375454425812,0.0910375454425812,1628.63463711739,828.962454557419,"1"
"288",7.7,0,4.69,368.685842358507,214,0.0261204173113219,0.0911204173113219,1623.41370938672,828.879582688678,"1"
"289",7.7,0,4.69,402.954812144861,214,0.0260090375710279,0.094,1559.10393206682,814.004518785514,"1"
"290",7.7,0,4.69,399.636465695221,214,0.0261528879229445,0.093694224154111,1560.3759913065,816.140430921223,"1"
"291",7.7,0,4.69,411.360976703465,214,0.0254774389560334,0.0945225610439666,1580.9475638466,812.954877912067,"1"
"292",7.7,0,4.69,434.228782680118,213.641246368876,0.025,0.095,1580.51127541787,812.51127541787,"1"
"293",7.7,0,4.69,394.530236349674,213.967441779794,0.0279023253393825,0.0940325582202058,1582.09767466062,815.065116440412,"1"
"294",8.24172602891922,0,4.69,450.157363042235,213.677157536149,0.025,0.095,1555.20506840944,819.031472608447,"1"
"295",11.5764886672841,0.0325107393041253,4.67780847276095,455.92019698373,210.342541828286,0.0239840393967461,0.0956095763619523,1593.92019698373,848.793734441046,"1"
"296",10.3872191651259,0,4.69,473.640670627821,214,0.0257435688604601,0.095,1577.43650304666,813.97427544184,"1"
"297",8.45723859884311,0,4.69,457.993298080983,213.914477197686,0.025,0.095,1550.3219854522,819.31581758149,"1"
"298",8,0,4.69471142132068,520.31682741479,213,0.025,0.0959422842641361,1559.23086294346,814.528857867932,"1"
"299",8,0,4.69014118618099,508.310609598178,213,0.025,0.095,1546.25413512578,809.084711708594,"1"
"300",8,0,4.69,504.821281687357,213.224781275727,0.025,0.095,1568.39475061744,816.348687654361,"1"
"301",8,0,4.69938860707218,528.654935558792,213,0.025,0.095,1562.89949272992,814.633164243307,"1"
"302",8,0,4.69074098955374,519.778374928981,213.925901044626,0.025,0.0951481979107484,1584.62883342803,820.481307312381,"1"
"303",8,0,4.7,535.773470699787,213,0.0252886735349894,0.0955773470699787,1551.58703799546,815.577347069979,"1"
"304",8,0,4.7,572.220697132405,213.30735657108,0.026,0.095,1631.68827885296,817,"1"
"305",8,0,4.7,571.473058763426,213.021502671065,0.0250215026710648,0.095,1642.93549198681,809.172021368518,"1"
"306",8,0,4.7,576.024456147105,213,0.0256280570183881,0.0962561140367761,1642.37194298161,810.256114036776,"1"
"307",8,0,4.7,589.300332627725,213.735738044837,0.026,0.095528523910325,1640.52852391033,815.414428269025,"1"
"308",8,0,4.7,599.729029052658,213.992676460883,0.026,0.0969853529217653,1636.93408814794,820.970705843531,"1"
"309",8,0.143981825092342,4.7,614.981825092342,213.398182509234,0.0256018174907658,0.0973981825092342,1657.82362737996,814.601817490766,"1"
"310",8,0.15,4.7,649.51769317151,214,0.025,0.098,1620.61813430814,814.864172520349,"1"
"311",8,0.15,4.7,622.431161273969,214,0.025,0.098,1647.34212906263,813.591096778866,"1"
"312",8,0.15,4.7,623.896325390786,214,0.025,0.098,1642.21612551226,813.456938989228,"1"
"313",8,0.15,4.7,641.419941618107,214,0.025,0.098,1626.88973728148,813.946627745405,"1"
"314",8,0.15,4.7,645.140222627204,214,0.025,0.098,1630.49781751912,815,"1"
"315",8,0.150480720873456,4.69759639563272,660.240360436728,214,0.025,0.098,1637.86529757222,816.855783737963,"1"
"316",8,0.15686476389179,4.66567618054105,661.551240280969,214,0.025,0.098,1642.77257917798,814.313523610821,"1"
"317",8.36186839966103,0.168093419983052,7.57326969940681,745.469008933054,206.143948010169,0.0222859870025422,0.0997140129974578,1694.80361494492,991.934199830517,"1"
"318",8,0.15,8.28525799458846,682.140049684327,214,0.0258771499549039,0.098,1597.16215446452,813.385749774519,"1"
"319",8,0.153454554418568,8.29581811907003,684.145465302281,214,0.025,0.098,1620.40002958127,813.618178232573,"1"
"320",8,0.15,8.30999867321458,681.500199017813,214,0.0255000663392711,0.098,1596.99840785749,814.499933660729,"1"
"321",8,0.15,8.28705524027348,684.618094965816,214,0.026,0.098,1606.35885354877,812.705524027348,"1"
"322",8,0.16,8.26,695.590461328626,214,0.0254590461328626,0.098,1627.45904613286,817.459046132863,"1"
"323",8,0.16,8.25233032799326,691.766967200674,214,0.025,0.098,1638.50450801011,812.398196795955,"1"
"324",8,0.16,8.25139421898406,696.836531390436,214,0.025,0.098,1628.49040582869,814.418265695218,"1"
"325",8,0.16,8.25945296474034,705.617075318238,214,0.026,0.098054703525966,1641.89059294807,820.835889422102,"1"
"3261",8,0.16,8.25879441490397,700.758882980794,214,0.026,0.0981205585096031,1629.44670211524,818,"1"
"327",8,0.16,8.26,702.537663580384,214,0.0252688317901921,0.098,1616.2259814823,816.462336419616,"1"
"328",8,0.16,8.26,701.876789431786,214,0.026,0.098,1627.12321056821,817.123210568214,"1"
"329",8.01670779199339,0.16,8.26167077919934,706.501233759802,214,0.0258329220800661,0.098,1639.99506496079,820.832922080066,"1"
"330",8.1,0.16,8.26356770448154,709,214,0.025,0.0973567704481538,1619.06509761862,820.643229551846,"1"
"331",8.1,0.16,8.26744473759318,709,214,0.025,0.0977444737593178,1625.6560539084,820.255526240682,"1"
"332",8.1,0.16,8.28807354631368,712.229418525472,214,0.026,0.0988073546313681,1617.72502873326,817.192645368632,"1"
"333",8.1,0.16,8.28636814396828,712.636814396828,214,0.0256368143968284,0.0986368143968284,1623.5422992222,815.910443190485,"1"
"334",8.1,0.16,8.29119616821408,713.119616821408,214,0.0259401915892959,0.099,1621.0598084107,816.820574767888,"1"
"335",8.1,0.16,8.29788222567644,712.894111283822,214,0.025,0.098894111283822,1628,812.211777432356,"1"
"336",8.1,0.16,8.30747352199163,714.373676099582,214,0.025,0.098,1589.40544970962,807.868380497908,"1"
"337",8.1,0.16,8.31483484109398,715,214,0.025,0.098516515890602,1599.2762468583,812.549547671806,"1"
"338",8.1,0.16,8.30033400553744,713.033400553744,214,0.025,0.0989832997231279,1627.11488532578,811.983299723128,"1"
"339",8.1,0.164777276800014,8.31433183040004,714.433183040004,214,0.0254777276800014,0.099,1632.77727680001,814.866366080008,"1"
"340",8.1,0.162058669403195,8.31617600820959,715.411733880639,214,0.0252058669403195,0.099,1619.32372977585,815.235201641917,"1"
"341",8.1,0.163439736564178,8.32031920969253,716.375894625671,214,0.0253439736564178,0.099,1623.71986828209,816.751789251342,"1"
"342",8.0961447437061,0.17,8.33077105125878,716.077105125878,214,0.026,0.099,1638.6939461329,817.884342311183,"1"
"343",7.87698183911853,0.18,8.36230181608815,720,214,0.0257698183911853,0.099,1650.6112712617,814.690544826444,"1"
"344",7.8,0.18,8.37041550640482,720.083101280965,214,0.0250415506404825,0.099,1655.21053783083,817.124651921447,"1"
"345",7.8,0.18,8.39278666956816,722.639333478408,214,0.0253606665215921,0.099,1618.45932912617,818.081999564776,"1"
"346",7.8,0.18,8.3999172661989,722.99172661989,214,0.025,0.099,1608.28956830385,817.02482014033,"1"
"347",7.8,0.18,8.39,722,214,0.025,0.099,1655.9523308042,820,"1"
"348",7.8,0.18,8.39287460118067,722.643730059033,214,0.0253562699409667,0.099,1618.33182828804,818.0688098229,"1"
"349",7.8,0.18,8.39374741313048,721.781055984786,214,0.025,0.099,1666.09265058045,815.812629343476,"1"
"350",7.8,0.18,8.467015771484,724.8507885742,214,0.025,0.099,1612.0444799806,819.7761828613,"1"
"351",7.82462447870057,0.18,8.39984979148023,722.492489574011,214,0.025,0.099,1646.44742701808,820.246244787006,"1"
"352",7.8,0.18,8.45,724,214,0.025,0.099,1625.77318261843,815.924394206144,"1"
"353",7.8,0.18,8.45,724,214,0.025,0.099,1632.95973104518,818.319910348393,"1"
"354",7.8,0.177064391309395,8.4670643913094,724.70643913094,214,0.025,0.099,1616.87121738121,818.238634785637,"1"
"355",7.8,0.18,8.45400668297429,724.200334148714,214,0.025,0.099,1632.59097798471,820,"1"
"356",7.8,0.18,8.46373858520761,725.373858520761,214,0.025,0.099,1611.75684887543,816.060787781142,"1"
"357",7.8,0.18,8.48883673086995,726,214,0.0258836730869953,0.099,1636.67551899911,818.232653826009,"1"
"358",7.8,0.18,8.48165676468285,726,214,0.025,0.099,1654.8462059123,819.66864706343,"1"
"359",7.8,0.18,8.48134735854343,726,214,0.0251347358543426,0.099,1653.90107535012,819.730528291315,"1"
"360",7.8,0.18,8.49,726,214,0.0257483013749588,0.099,1619.30605462636,815.755095875124,"1"
"361",7.8,0.18,8.49024860940874,726,214,0.025,0.099,1643.82597341388,818,"1"
"362",7.8,0.17,8.50429001815151,725.771600726061,214,0.025,0.099,1635.42900181515,814.88580036303,"1"
"3631",7.8,0.18,8.49899802743457,726.449901371729,214,0.0255500986282714,0.099,1642.54812606284,819.349704115186,"1"
"364",7.8,0.173230583958793,8.52969175187638,728.323058395879,214,0.0256769416041207,0.099,1529.03082481236,814.323058395879,"1"
"365",7.8,0.18,8.53357242306694,729,214,0.026,0.099,1579.5696384795,818.213788466528,"1"
"366",7.8,0.18,8.53337757227011,727.337757227011,214,0.026324485545978,0.099,1516.32448554598,813.986728318967,"1"
"367",7.8,0.18,8.54,728.183319242904,214,0.025183319242904,0.099,1524.71591987391,812.549957728712,"1"
"368",7.8,0.18,8.54,728.048987156013,214,0.025048987156013,0.099,1517.59631926869,812.146961468039,"1"
"369",7.8,0.18,8.55,729,214,0.025,0.099,1526.44792084326,816.104158313479,"1"
"370",7.8,0.18,8.55,729,214,0.025,0.099,1526.00896128942,816.982077421155,"1"
"371",7.8,0.18,8.58592222624458,729,214,0.025,0.099,1654.25722443452,816.944166968344,"1"
"372",7.8,0.18,8.57,729,214,0.0255188513284083,0.099,1639.33932391135,819.075405313633,"1"
"373",7.8,0.18,8.57,729,214,0.0259046538311522,0.099,1646.28376896074,820.618615324609,"1"
"374",7.8,0.18,8.59716332588345,729,214,0.0251418337058276,0.0992836674116552,1656.75215288438,817.574498882517,"1"
"375",7.8,0.18,8.56883361872286,729,214,0.025,0.099,1644.85849029757,815.662521404214,"1"
"376",7.8,0.18,8.61483954899013,729,214,0.025,0.099,1533.48395489901,814.189505637623,"1"
"377",7.8,0.18,8.67303246760741,728,214,0.025,0.100303246760741,1588.88993492629,812,"1"
"3781",7.84689982454293,0.18,8.68,728.937996490858,214,0.025,0.101468998245429,1578.34499122715,809.186010527425,"1"
"379",7.9,0.18,8.70203896828461,727,214,0.0248980515857693,0.099,1538.38830951462,817.388309514616,"1"
"380",7.9,0.18,8.70841940126382,726.579029936809,214,0.0245790299368091,0.099,1534.3693293049,819.262910189573,"1"
"381",7.9,0.18,8.72594256479293,726,214,0.025,0.0998114870414138,1569.49189633131,811.594256479293,"1"
"382",7.9,0.18,8.71573179192143,727.280462423572,214,0.0245731791921426,0.101,1566.62219657213,813.560924847145,"1"
"383",7.9,0.18,8.70905340385158,727,214,0.0245473298074212,0.099,1536.28397884453,815.283978844527,"1"
"384",7.9,0.18,8.71378700834932,728.621299165068,212.863897495205,0.025,0.101,1527.36102504795,821.349094155477,"1"
"385",7.9,0.18,8.71115514244186,728.884485755814,213.653457267443,0.025,0.101,1519.46542732557,823.1914002907,"1"
"386",7.9,0.18,8.71914827839471,728.085172160529,211.255516481586,0.0249148278394714,0.101,1546.34068864211,817,"1"
"387",7.9,0.18,8.69702583212871,729.297416787129,214,0.0242974167871289,0.101297416787129,1561.45683068316,818.215499277227,"1"
"388",7.9,0.18,8.7,729,214,0.0243796160689089,0.101620383931091,1522.44460717309,813.036928551272,"1"
"389",7.9,0.18,8.70412685640622,729,214,0.0245873143593781,0.101,1529.44399742177,817.587314359378,"1"
"390",7.9,0.18,8.7,730,214,0.025,0.102,1540.12290364597,811.665058593731,"1"
"391",7.9,0.18,8.7,729.313809702406,214,0.0243138097024057,0.102,1532.6485746433,810.313809702406,"1"
"392",7.9,0.18,8.69367536254693,729.632463745307,214,0.0246324637453072,0.102,1539.01681116084,812.529854981229,"1"
"393",7.9,0.18,8.69110837604152,729.889162395848,214,0.024889162395848,0.101889162395848,1584.00492312526,812.886700833216,"1"
"394",7.9,0.18,8.6829134637583,730,214,0.025,0.102,1582.45673187915,807.748078254983,"1"
"395",7.9,0.18,8.68029075975996,730.970924024004,214,0.025,0.102,1551.82554414403,814.970924024004,"1"
"396",7.9,0.18,8.66620019639377,731,211.930029459065,0.028,0.101,1530.13994108187,822.279882163741,"1"
"397",7.9,0.18,8.68,731,213.330450132489,0.028,0.10122318328917,1558.32180052996,819.553633421659,"1"
"398",7.9,0.18,8.68,731,211.609801450977,0.028,0.101796732849674,1551.43920580391,818.406534300651,"1"
"399",7.9,0.18,8.6625405933056,731,211,0.0271270296652801,0.10112702966528,1561.41356364032,825.237822008319,"1"
"400",7.9,0.18,8.67851671532728,733.555014598183,211,0.0288516715327278,0.101,1569.48328467272,821.444985401817,"1"
"401",7.9,0.18,8.66,731.643876972143,214,0.0267122460557148,0.101,1549.64387697214,823.863261832856,"1"
"402",7.9,0.18,8.66,731.125636434415,211,0.0278743635655846,0.101,1531.49745426234,826,"1"
"403",7.9,0.18,8.66750320775667,731,211,0.0277503207756672,0.101,1573.25609473768,824.499358448666,"1"
"404",7.9,0.18,8.66546259117778,733.092518235557,211,0.0280925182355568,0.101,1515.00885029556,824.27755470667,"1"
"405",7.9,0.18,8.66,732,212.87645678455,0.02637451440515,0.101,1541.7606830867,826,"1"
"406",7.9,0.18,8.66,731.322658280144,211,0.0276773417198565,0.101,1530.70936687943,826,"1"
"407",7.9,0.18,8.66,731.874685856979,211,0.027,0.100125314143021,1553.31454192963,826.874685856979,"1"
"408",7.9,0.18,8.67549540283158,731.774770141579,211,0.0273873850707896,0.099,1584.27936730999,824.288304504473,"1"
"409",7.9,0.18,8.71955124996603,732,211,0.028,0.099,1552.9326874949,820.022437501699,"1"
"410",7.9,0.18,8.66767015987774,732,211,0.027,0.101,1534.13612790219,824.721640020376,"1"
"411",7.9,0.182789584773127,8.68836875431938,732.278958477313,211,0.0277210415226873,0.099,1542.81562284031,823.115833909251,"1"
"412",7.9,0.18,8.71393062551972,732.303468724014,211,0.0273034687240142,0.099,1581.19940700359,822.786125103943,"1"
"413",7.9,0.18,8.72250921950676,732,211,0.028,0.099,1558.26936096419,821.756453654729,"1"
"414",7.9,0.18,8.73635640208842,731.364359791158,211,0.028,0.099,1531.80588355032,827.635640208842,"1"
"415",7.9,0.18,8.73552906277124,731.447093722876,211,0.0285529062771238,0.099,1567.36512467451,825.341281168628,"1"
"416",7.9,0.18,8.74548300752416,731,211,0.028,0.099,1534.7101954855,825.806796990335,"1"
"417",7.9,0.18,8.73411044832785,731,211,0.028,0.099,1543.59507408855,825.938656914746,"1"
"418",7.9,0.18,8.74,730.270376704633,211,0.028,0.099,1516.84092443436,823.622260227799,"1"
"419",7.9,0.18,8.705384505908,732.4615494092,211,0.028,0.099,1557.7692964552,820.5384505908,"1"
"420",7.9,0.18,8.72,731.137544288766,211,0.028,0.099,1556.44982284494,820.862455711234,"1"
"421",7.9,0.18,8.72,731.39480153867,211,0.028,0.099,1555.42079384532,820.60519846133,"1"
"422",7.9,0.18,8.71403404499404,732.298297750298,211,0.0282982977502979,0.099,1549.12212924613,821.193191001192,"1"
"423",7.9,0.18,8.71007451614365,731.992548385635,211,0.028,0.099,1554.95529031381,821.007451614365,"1"
"424",7.9,0.18,8.67130350349471,733.130350349471,211,0.028130350349471,0.101,1525.73929930106,823.174124126323,"1"
"425",7.9,0.18,8.67171454623807,734,211,0.0285857273119036,0.101414272688096,1563.44300043094,823.485636128578,"1"
"426",7.9,0.18,8.65196033270098,734,211,0.0280980166350491,0.101,1523.6079334598,824.294049905147,"1"
"427",7.9,0.18,8.66996104764752,734,211,0.028498052382376,0.101501947617624,1562.47857620614,824.011685705744,"1"
"428",7.9,0.18,8.65405333090574,734,211,0.0281351110301912,0.101,1524,823.594666909426,"1"
"429",7.9,0.18,8.64626410561148,733.373589438852,211,0.027686794719426,0.101686794719426,1524.56602640287,828.060384158278,"1"
"430",7.9,0.175935763323214,8.65187152664643,734,211,0.028,0.102,1544.80728996964,827.406423667679,"1"
"431",7.9,0.172977479051333,8.63190991620533,734.702252094867,211,0.028,0.102,1585.09008379467,827.702252094867,"1"
"432",7.9,0.17571757476544,8.64287029906176,733.284727570368,211,0.027428242523456,0.101428242523456,1503.86108971853,821,"1"
"433",7.9,0.17,8.59509632878937,735,211,0.028,0.104,1577.09632878937,826.264449318405,"1"
"434",7.9,0.17,8.58053225175943,735.946774824057,211,0.028,0.104,1585.36129788868,826.946774824057,"1"
"435",7.9,0.17,8.56372367131524,735.813816434238,211,0.028,0.104813816434238,1543.28222201252,821.558550697286,"1"
"436",7.9,0.17,8.58612623058027,735.387376941973,211,0.028,0.104,1578.64852330368,826.387376941973,"1"
"437",7.9,0.17,8.58124679005239,735.43766049738,211,0.0284376604973804,0.104,1553.42995662312,825.124679005239,"1"
"438",7.9,0.17,8.56976276279427,736,211,0.0289762762794271,0.104023723720573,1527.28468464687,823.928828838281,"1"
"439",7.9,0.17,8.56004888427211,736.996741048526,211,0.028998370524263,0.104,1561.02118318458,821.008147378685,"1"
"440",7.9,0.169579259443563,8.50210370278219,737.957925944356,211,0.0290841481112875,0.105957925944356,1614.79940705723,822.084148111288,"1"
